pickup_hour_year,total_amount
"2023, 00 hrs",31.82383
"2023, 01 hrs",32.67993
"2023, 02 hrs",34.60098
"2023, 03 hrs",35.82191
"2023, 04 hrs",37.7893
"2023, 05 hrs",38.75446
"2023, 06 hrs",37.39518
"2023, 07 hrs",37.19122
"2023, 08 hrs",36.50261
"2023, 09 hrs",35.66167
"2023, 10 hrs",35.35862
"2023, 11 hrs",36.37118
"2023, 12 hrs",37.21996
"2023, 13 hrs",37.71819
"2023, 14 hrs",38.36259
"2023, 15 hrs",38.8637
"2023, 16 hrs",40.29706
"2023, 17 hrs",39.37231
"2023, 18 hrs",38.35904
"2023, 19 hrs",37.46126
"2023, 20 hrs",35.51136
"2023, 21 hrs",34.33132
"2023, 22 hrs",33.38079
"2023, 23 hrs",32.22624
"2024, 00 hrs",32.66939
"2024, 01 hrs",33.49433
"2024, 02 hrs",35.36788
"2024, 03 hrs",36.61579
"2024, 04 hrs",38.6267
"2024, 05 hrs",39.61317
"2024, 06 hrs",38.22369
"2024, 07 hrs",38.01515
"2024, 08 hrs",37.31121
"2024, 09 hrs",36.45159
"2024, 10 hrs",36.14177
"2024, 11 hrs",37.1767
"2024, 12 hrs",38.04422
"2024, 13 hrs",38.55343
"2024, 14 hrs",39.21205
"2024, 15 hrs",39.72421
"2024, 16 hrs",41.18926
"2024, 17 hrs",40.24398
"2024, 18 hrs",39.20824
"2024, 19 hrs",38.29054
"2024, 20 hrs",36.29744
"2024, 21 hrs",35.09124
"2024, 22 hrs",34.11964
"2024, 23 hrs",32.93951
