pickup_hour_year,total_amount
"2011, 00 hrs",24.812590313213214
"2011, 01 hrs",25.526728921198607
"2011, 02 hrs",26.32010138862527
"2011, 03 hrs",26.41776164366696
"2011, 04 hrs",28.194245145243894
"2011, 05 hrs",30.9598212194529
"2011, 06 hrs",30.119975921583233
"2011, 07 hrs",29.074065554828984
"2011, 08 hrs",27.905972572816115
"2011, 09 hrs",26.75065068182851
"2011, 10 hrs",26.682875935156137
"2011, 11 hrs",27.10545206312081
"2011, 12 hrs",27.47818872955465
"2011, 13 hrs",28.659260372877313
"2011, 14 hrs",29.42737749535104
"2011, 15 hrs",29.90699995593004
"2011, 16 hrs",30.35991818600773
"2011, 17 hrs",29.89597093586947
"2011, 18 hrs",29.01327233339927
"2011, 19 hrs",28.278438851198406
"2011, 20 hrs",28.404482874529087
"2011, 21 hrs",27.84172111158491
"2011, 22 hrs",26.564537844055167
"2011, 23 hrs",25.229823089488754
"2012, 00 hrs",24.8117155196634
"2012, 01 hrs",24.90258046253806
"2012, 02 hrs",25.420151950281017
"2012, 03 hrs",25.31624035288301
"2012, 04 hrs",27.54198383670434
"2012, 05 hrs",30.00984839016117
"2012, 06 hrs",29.175885669866528
"2012, 07 hrs",28.03385897099702
"2012, 08 hrs",27.453905157343133
"2012, 09 hrs",26.5964233741374
"2012, 10 hrs",26.500878164709665
"2012, 11 hrs",27.33766893056491
"2012, 12 hrs",27.558741016549675
"2012, 13 hrs",28.652894577311287
"2012, 14 hrs",29.378597353707676
"2012, 15 hrs",29.731110936836007
"2012, 16 hrs",30.225472888345763
"2012, 17 hrs",29.233457453846288
"2012, 18 hrs",28.300048738180568
"2012, 19 hrs",27.461982886152473
"2012, 20 hrs",27.091171214008853
"2012, 21 hrs",26.580046554058484
"2012, 22 hrs",25.709030668994803
"2012, 23 hrs",24.91523029302291
"2013, 00 hrs",28.390527459584593
"2013, 01 hrs",28.535594062549375
"2013, 02 hrs",28.677852105649492
"2013, 03 hrs",28.536398349533826
"2013, 04 hrs",30.97187124003848
"2013, 05 hrs",32.91378457512144
"2013, 06 hrs",32.2185142425231
"2013, 07 hrs",31.38709959196809
"2013, 08 hrs",30.856362156339262
"2013, 09 hrs",29.93573367319123
"2013, 10 hrs",30.081346553332185
"2013, 11 hrs",30.824173985230264
"2013, 12 hrs",31.222045509632718
"2013, 13 hrs",32.338028376224464
"2013, 14 hrs",33.15527926913475
"2013, 15 hrs",33.17166406629519
"2013, 16 hrs",33.30073898280237
"2013, 17 hrs",32.90773062573704
"2013, 18 hrs",31.556544252397593
"2013, 19 hrs",30.72524665831798
"2013, 20 hrs",30.23549730864394
"2013, 21 hrs",29.76545374137074
"2013, 22 hrs",29.06208025328207
"2013, 23 hrs",28.434941702457447
"2014, 00 hrs",29.119951120277854
"2014, 01 hrs",29.516774106103256
"2014, 02 hrs",30.001828552347092
"2014, 03 hrs",31.27372822236185
"2014, 04 hrs",32.10178039916539
"2014, 05 hrs",33.36947379986563
"2014, 06 hrs",32.977770222694005
"2014, 07 hrs",32.11861302966646
"2014, 08 hrs",31.547483505710474
"2014, 09 hrs",30.646660958196016
"2014, 10 hrs",31.231587755329482
"2014, 11 hrs",31.62858818397516
"2014, 12 hrs",32.20978120807643
"2014, 13 hrs",32.855067332349066
"2014, 14 hrs",33.572885249564756
"2014, 15 hrs",33.60092874874817
"2014, 16 hrs",33.926820635245676
"2014, 17 hrs",33.36482900888232
"2014, 18 hrs",32.633159072777964
"2014, 19 hrs",31.855100439418948
"2014, 20 hrs",30.857155375502593
"2014, 21 hrs",30.48413189810809
"2014, 22 hrs",29.81954162801416
"2014, 23 hrs",29.74758536886425
"2015, 00 hrs",30.290178574893304
