pickup_hour_year,trips
"2011, 00 hrs",2441.97660404112
"2011, 01 hrs",1834.0515315315315
"2011, 02 hrs",1371.5205331412103
"2011, 03 hrs",1045.9480762047067
"2011, 04 hrs",704.5731835731835
"2011, 05 hrs",570.6635738831615
"2011, 06 hrs",1211.6940247252746
"2011, 07 hrs",2146.3525575008584
"2011, 08 hrs",2699.4558874013046
"2011, 09 hrs",2784.9502743484227
"2011, 10 hrs",2689.2650891632375
"2011, 11 hrs",2766.3300171526585
"2011, 12 hrs",2918.429893726431
"2011, 13 hrs",2895.4146090534978
"2011, 14 hrs",2984.2106346483706
"2011, 15 hrs",2818.574074074074
"2011, 16 hrs",2407.5238258484746
"2011, 17 hrs",2906.4869505494507
"2011, 18 hrs",3528.9526261585993
"2011, 19 hrs",3690.5710363761154
"2011, 20 hrs",3475.0442842430484
"2011, 21 hrs",3399.26022688209
"2011, 22 hrs",3299.709266276266
"2011, 23 hrs",2960.5263522884884
"2012, 00 hrs",1581.886013986014
"2012, 01 hrs",1305.554980595084
"2012, 02 hrs",1045.295782463929
"2012, 03 hrs",793.641601843849
"2012, 04 hrs",512.0858783607413
"2012, 05 hrs",384.1803663691874
"2012, 06 hrs",768.9159458860057
"2012, 07 hrs",1307.161988429398
"2012, 08 hrs",1625.0010656436489
"2012, 09 hrs",1696.5100021510002
"2012, 10 hrs",1604.430875576037
"2012, 11 hrs",1609.3961569910057
"2012, 12 hrs",1685.816040609137
"2012, 13 hrs",1596.3449544838272
"2012, 14 hrs",1639.7528392685274
"2012, 15 hrs",1515.5988273122755
"2012, 16 hrs",1316.7267319132604
"2012, 17 hrs",1616.812438881283
"2012, 18 hrs",2018.3477304539092
"2012, 19 hrs",2174.2281533388295
"2012, 20 hrs",2094.732842105263
"2012, 21 hrs",2083.358180264844
"2012, 22 hrs",2045.6544197103956
"2012, 23 hrs",1868.7532611098827
"2013, 00 hrs",1494.887181738367
"2013, 01 hrs",1237.4135467980295
"2013, 02 hrs",1005.6239177489177
"2013, 03 hrs",743.9302772440296
"2013, 04 hrs",459.15572625698326
"2013, 05 hrs",357.1323872061004
"2013, 06 hrs",717.0022444399102
"2013, 07 hrs",1203.6977241781753
"2013, 08 hrs",1501.2560641627542
"2013, 09 hrs",1552.688927943761
"2013, 10 hrs",1494.8546793257121
"2013, 11 hrs",1505.8130911842602
"2013, 12 hrs",1554.3963663329625
"2013, 13 hrs",1485.1627531815739
"2013, 14 hrs",1502.2817718403937
"2013, 15 hrs",1412.7605290636966
"2013, 16 hrs",1204.7544761567099
"2013, 17 hrs",1486.625425856195
"2013, 18 hrs",1878.9663541092114
"2013, 19 hrs",2032.5619897474844
"2013, 20 hrs",1950.5370406003462
"2013, 21 hrs",1945.5510084198158
"2013, 22 hrs",1909.703373015873
"2013, 23 hrs",1742.7507660878448
"2014, 00 hrs",1405.9692507579039
"2014, 01 hrs",1138.1469103149796
"2014, 02 hrs",931.921143159566
"2014, 03 hrs",668.0091145833334
"2014, 04 hrs",428.9248255683097
"2014, 05 hrs",350.77993393889346
"2014, 06 hrs",699.6610600430275
"2014, 07 hrs",1158.041474654378
"2014, 08 hrs",1404.0546949703576
"2014, 09 hrs",1456.4198312236288
"2014, 10 hrs",1414.4627063959006
"2014, 11 hrs",1452.8030902581497
"2014, 12 hrs",1488.2931927487975
"2014, 13 hrs",1451.0323989807061
"2014, 14 hrs",1461.68201208674
"2014, 15 hrs",1372.6626123744052
"2014, 16 hrs",1199.5286728563626
"2014, 17 hrs",1472.291078952189
"2014, 18 hrs",1831.2262148575685
"2014, 19 hrs",1950.246349326759
